x,y=sin(x),y=cos(x)
-3.141592653589793,-1.2246467991473532e-16,3.0
-3.140964272220938,-0.0006283813275010293,2.9999976308214436
-3.1403358908520835,-0.0012567624068768731,2.999990523289516
-3.1397075094832285,-0.0018851429900040215,2.9999786774154433
-3.139079128114374,-0.0025135228287572605,2.999962093217936
-3.138450746745519,-0.003141901675013448,2.999940770723187
-3.137822365376664,-0.0037702792806485006,2.9999147099648757
-3.1371939840078094,-0.004398655397538824,2.999883910984162
-3.1365656026389543,-0.005027029777562747,2.999848373829693
-3.1359372212700993,-0.005655402172597948,2.999808098557597
-3.1353088399012448,-0.006283772334522893,2.9997630852314874
-3.1346804585323897,-0.006912140015218258,2.99971333392246
-3.134052077163535,-0.007540504966563925,2.9996588447090957
-3.13342369579468,-0.008168866940442632,2.999599617677456
-3.132795314425825,-0.008797225688736955,2.9995356529210886
-3.1321669330569706,-0.009425580963330748,2.9994669505410223
-3.1315385516881156,-0.010053932516110567,2.999393510645769
-3.1309101703192606,-0.010682280098963107,2.9993153333513236
-3.130281788950406,-0.01131062346377663,2.999232418781164
-3.129653407581551,-0.011938962362442393,2.999144767066249
-3.1290250262126964,-0.012567296546851644,2.999052378345021
-3.1283966448438414,-0.013195625768899268,2.998955252763403
-3.1277682634749864,-0.013823949780480774,2.9988533904748005
-3.127139882106132,-0.014452268333493735,2.9987467916401
-3.126511500737277,-0.015080581179839203,2.9986354564276696
-3.1258831193684222,-0.015708888071418715,2.9985193850133576
-3.125254737999567,-0.01633718876013793,2.9983985775804936
-3.124626356630712,-0.016965482997903628,2.998273034319887
-3.1239979752618576,-0.017593770536625135,2.9981427554298277
-3.1233695938930026,-0.018222051128215754,2.998007741116084
-3.1227412125241476,-0.018850324524590196,2.9978679915919058
-3.122112831155293,-0.01947859047766602,2.99772350707802
-3.121484449786438,-0.02010684873936505,2.9975742878026335
-3.1208560684175835,-0.020735099061610373,2.9974203340014314
-3.1202276870487284,-0.021363341196329984,2.9972616459175754
-3.1195993056798734,-0.02199157489545379,2.997098223801706
-3.118970924311019,-0.022619799910915016,2.996930067911941
-3.118342542942164,-0.023248015994651657,2.9967571785138745
-3.117714161573309,-0.02387622289860389,2.996579555880577
-3.1170857802044543,-0.02450442037471554,2.9963972002925954
-3.1164573988355992,-0.025132608174935456,2.996210112037951
